Trial,Strategy,Threshold_Dist,Step,Adoption_Fraction,Final_Fraction,TimeToConverge
0,Betweenness,Uniform,32,0.436,0.436,15
0,Betweenness,Uniform,33,0.436,0.436,15
0,Betweenness,Uniform,34,0.436,0.436,15
0,Betweenness,Uniform,35,0.436,0.436,15
0,Betweenness,Uniform,36,0.436,0.436,15
0,Betweenness,Uniform,37,0.436,0.436,15
0,Betweenness,Uniform,38,0.436,0.436,15
0,Betweenness,Uniform,39,0.436,0.436,15
0,Betweenness,Uniform,40,0.436,0.436,15
0,Betweenness,Uniform,41,0.436,0.436,15
0,Betweenness,Uniform,42,0.436,0.436,15
0,Betweenness,Uniform,43,0.436,0.436,15
0,Betweenness,Uniform,44,0.436,0.436,15
0,Betweenness,Uniform,45,0.436,0.436,15
0,Betweenness,Uniform,46,0.436,0.436,15
0,Betweenness,Uniform,47,0.436,0.436,15
0,Betweenness,Uniform,48,0.436,0.436,15
0,Betweenness,Uniform,49,0.436,0.436,15
1,Random,Uniform,0,0.01,0.018,2
1,Random,Uniform,1,0.0155,0.018,2
1,Random,Uniform,2,0.018,0.018,2
1,Random,Uniform,3,0.018,0.018,2
1,Random,Uniform,4,0.018,0.018,2
1,Random,Uniform,5,0.018,0.018,2
1,Random,Uniform,6,0.018,0.018,2
1,Random,Uniform,7,0.018,0.018,2
1,Random,Uniform,8,0.018,0.018,2
1,Random,Uniform,9,0.018,0.018,2
1,Random,Uniform,10,0.018,0.018,2
1,Random,Uniform,11,0.018,0.018,2
1,Random,Uniform,12,0.018,0.018,2
1,Random,Uniform,13,0.018,0.018,2
1,Random,Uniform,14,0.018,0.018,2
1,Random,Uniform,15,0.018,0.018,2
1,Random,Uniform,16,0.018,0.018,2
1,Random,Uniform,17,0.018,0.018,2
1,Random,Uniform,18,0.018,0.018,2
1,Random,Uniform,19,0.018,0.018,2
1,Random,Uniform,20,0.018,0.018,2
1,Random,Uniform,21,0.018,0.018,2
1,Random,Uniform,22,0.018,0.018,2
1,Random,Uniform,23,0.018,0.018,2
1,Random,Uniform,24,0.018,0.018,2
1,Random,Uniform,25,0.018,0.018,2
1,Random,Uniform,26,0.018,0.018,2
1,Random,Uniform,27,0.018,0.018,2
1,Random,Uniform,28,0.018,0.018,2
1,Random,Uniform,29,0.018,0.018,2
1,Random,Uniform,30,0.018,0.018,2
1,Random,Uniform,31,0.018,0.018,2
1,Random,Uniform,32,0.018,0.018,2
1,Random,Uniform,33,0.018,0.018,2
1,Random,Uniform,34,0.018,0.018,2
1,Random,Uniform,35,0.018,0.018,2
1,Random,Uniform,36,0.018,0.018,2
1,Random,Uniform,37,0.018,0.018,2
1,Random,Uniform,38,0.018,0.018,2
1,Random,Uniform,39,0.018,0.018,2
1,Random,Uniform,40,0.018,0.018,2
1,Random,Uniform,41,0.018,0.018,2
1,Random,Uniform,42,0.018,0.018,2
1,Random,Uniform,43,0.018,0.018,2
1,Random,Uniform,44,0.018,0.018,2
1,Random,Uniform,45,0.018,0.018,2
1,Random,Uniform,46,0.018,0.018,2
1,Random,Uniform,47,0.018,0.018,2
1,Random,Uniform,48,0.018,0.018,2
1,Random,Uniform,49,0.018,0.018,2
1,Degree,Uniform,0,0.01,0.428,11
1,Degree,Uniform,1,0.1875,0.428,11
1,Degree,Uniform,2,0.2695,0.428,11
1,Degree,Uniform,3,0.329,0.428,11
1,Degree,Uniform,4,0.369,0.428,11
1,Degree,Uniform,5,0.3945,0.428,11
1,Degree,Uniform,6,0.407,0.428,11
1,Degree,Uniform,7,0.4165,0.428,11
1,Degree,Uniform,8,0.42,0.428,11
1,Degree,Uniform,9,0.424,0.428,11
1,Degree,Uniform,10,0.4265,0.428,11
1,Degree,Uniform,11,0.428,0.428,11
1,Degree,Uniform,12,0.428,0.428,11
1,Degree,Uniform,13,0.428,0.428,11
1,Degree,Uniform,14,0.428,0.428,11
1,Degree,Uniform,15,0.428,0.428,11
1,Degree,Uniform,16,0.428,0.428,11
1,Degree,Uniform,17,0.428,0.428,11
1,Degree,Uniform,18,0.428,0.428,11
1,Degree,Uniform,19,0.428,0.428,11
1,Degree,Uniform,20,0.428,0.428,11
1,Degree,Uniform,21,0.428,0.428,11
1,Degree,Uniform,22,0.428,0.428,11
1,Degree,Uniform,23,0.428,0.428,11
1,Degree,Uniform,24,0.428,0.428,11
1,Degree,Uniform,25,0.428,0.428,11
1,Degree,Uniform,26,0.428,0.428,11
1,Degree,Uniform,27,0.428,0.428,11
1,Degree,Uniform,28,0.428,0.428,11
1,Degree,Uniform,29,0.428,0.428,11
1,Degree,Uniform,30,0.428,0.428,11
1,Degree,Uniform,31,0.428,0.428,11
1,Degree,Uniform,32,0.428,0.428,11
1,Degree,Uniform,33,0.428,0.428,11
1,Degree,Uniform,34,0.428,0.428,11
1,Degree,Uniform,35,0.428,0.428,11
1,Degree,Uniform,36,0.428,0.428,11
1,Degree,Uniform,37,0.428,0.428,11
1,Degree,Uniform,38,0.428,0.428,11
1,Degree,Uniform,39,0.428,0.428,11
1,Degree,Uniform,40,0.428,0.428,11
1,Degree,Uniform,41,0.428,0.428,11
1,Degree,Uniform,42,0.428,0.428,11
1,Degree,Uniform,43,0.428,0.428,11
1,Degree,Uniform,44,0.428,0.428,11
1,Degree,Uniform,45,0.428,0.428,11
1,Degree,Uniform,46,0.428,0.428,11
1,Degree,Uniform,47,0.428,0.428,11
1,Degree,Uniform,48,0.428,0.428,11
1,Degree,Uniform,49,0.428,0.428,11
1,Betweenness,Uniform,0,0.01,0.4285,15
1,Betweenness,Uniform,1,0.1875,0.4285,15
1,Betweenness,Uniform,2,0.269,0.4285,15
1,Betweenness,Uniform,3,0.3285,0.4285,15
1,Betweenness,Uniform,4,0.3665,0.4285,15
1,Betweenness,Uniform,5,0.3905,0.4285,15
1,Betweenness,Uniform,6,0.4045,0.4285,15
