Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
34,Random,"Beta_High, Normal, Constant_0.4",0.0145,1
34,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
34,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
35,Random,Fixed_0.2,1.0,11
35,Degree,Fixed_0.2,1.0,4
35,Betweenness,Fixed_0.2,1.0,4
35,Random,Uniform,0.0345,7
35,Degree,Uniform,0.5025,14
35,Betweenness,Uniform,0.5105,14
35,Random,Beta_Low,1.0,16
35,Degree,Beta_Low,1.0,8
35,Betweenness,Beta_Low,1.0,8
35,Random,Beta_Mid,0.0225,4
35,Degree,Beta_Mid,0.334,12
35,Betweenness,Beta_Mid,0.333,12
35,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
35,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
35,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
36,Random,Fixed_0.2,1.0,11
36,Degree,Fixed_0.2,1.0,4
36,Betweenness,Fixed_0.2,1.0,4
36,Random,Uniform,0.0245,3
36,Degree,Uniform,0.431,10
36,Betweenness,Uniform,0.4325,10
36,Random,Beta_Low,1.0,10
36,Degree,Beta_Low,1.0,8
36,Betweenness,Beta_Low,1.0,8
36,Random,Beta_Mid,0.0185,3
36,Degree,Beta_Mid,0.298,9
36,Betweenness,Beta_Mid,0.297,9
36,Random,"Beta_High, Normal, Constant_0.4",0.0125,1
36,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
36,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
37,Random,Fixed_0.2,1.0,8
37,Degree,Fixed_0.2,1.0,4
37,Betweenness,Fixed_0.2,1.0,4
37,Random,Uniform,0.285,16
37,Degree,Uniform,0.4995,16
37,Betweenness,Uniform,0.506,16
37,Random,Beta_Low,1.0,13
37,Degree,Beta_Low,1.0,6
37,Betweenness,Beta_Low,1.0,6
37,Random,Beta_Mid,0.0165,3
37,Degree,Beta_Mid,0.4435,30
37,Betweenness,Beta_Mid,0.3895,25
37,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
37,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
37,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
38,Random,Fixed_0.2,1.0,13
38,Degree,Fixed_0.2,1.0,4
38,Betweenness,Fixed_0.2,1.0,4
38,Random,Uniform,0.0245,5
38,Degree,Uniform,0.5395,17
38,Betweenness,Uniform,0.524,16
38,Random,Beta_Low,1.0,13
38,Degree,Beta_Low,1.0,6
38,Betweenness,Beta_Low,1.0,6
38,Random,Beta_Mid,0.04,3
38,Degree,Beta_Mid,0.3795,17
38,Betweenness,Beta_Mid,0.3685,17
38,Random,"Beta_High, Normal, Constant_0.4",0.011,1
38,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
38,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
39,Random,Fixed_0.2,1.0,10
39,Degree,Fixed_0.2,1.0,4
39,Betweenness,Fixed_0.2,1.0,4
39,Random,Uniform,0.0265,4
39,Degree,Uniform,0.506,14
39,Betweenness,Uniform,0.523,19
39,Random,Beta_Low,1.0,16
39,Degree,Beta_Low,1.0,8
39,Betweenness,Beta_Low,1.0,8
39,Random,Beta_Mid,0.019,7
39,Degree,Beta_Mid,0.403,21
39,Betweenness,Beta_Mid,0.4135,20
39,Random,"Beta_High, Normal, Constant_0.4",0.01,0
39,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
39,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
40,Random,Fixed_0.2,1.0,11
40,Degree,Fixed_0.2,1.0,4
40,Betweenness,Fixed_0.2,1.0,4
40,Random,Uniform,0.029,8
40,Degree,Uniform,0.5105,10
40,Betweenness,Uniform,0.5105,10
40,Random,Beta_Low,1.0,21
40,Degree,Beta_Low,1.0,6
40,Betweenness,Beta_Low,1.0,6
40,Random,Beta_Mid,0.017,2
40,Degree,Beta_Mid,0.475,25
40,Betweenness,Beta_Mid,0.349,16
40,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
40,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
40,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
41,Random,Fixed_0.2,1.0,11
41,Degree,Fixed_0.2,1.0,4
41,Betweenness,Fixed_0.2,1.0,4
41,Random,Uniform,0.032,6
41,Degree,Uniform,0.5205,15
